10-Jun-16,,,,,,,,,,,
iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,
Fund Holdings as of,10-Jun-16,,,,,,,,,,
Total Net Assets,"$18,274,675,549 ",,,,,,,,,,
Number of Securities,606,,,,,,,,,,
Shares Outstanding,"156,050,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
LAD,LITHIA MOTORS INC. CL A,Equity,0.28,74.91,"673,588.00","50,458,477.08","50,458,477.08",Consumer Discretionary,"2,515,030.00",US5367971034,New York Stock Exchange Inc.
GIII,G III APPAREL GROUP LTD,Equity,0.27,42.54,"1,164,243.00","49,526,897.22","49,526,897.22",Consumer Discretionary,"2,369,721.00",US36237H1014,NASDAQ
EXLS,EXLSERVICE HOLDINGS INC.,Equity,0.27,51.29,"963,076.00","49,396,168.04","49,396,168.04",Information Technology,B07LST0,US3020811044,NASDAQ
AXE,ANIXTER INTERNATIONAL INC.,Equity,0.27,59.92,"823,979.00","49,372,821.68","49,372,821.68",Information Technology,"2,468,844.00",US0352901054,New York Stock Exchange Inc.
CVBF,CVB FINANCIAL CORP.,Equity,0.27,17.16,"2,874,814.00","49,331,808.24","49,331,808.24",Financials,"2,160,645.00",US1266001056,NASDAQ
COLB,COLUMBIA BANKING SYSTEM INC.,Equity,0.27,29.14,"1,678,127.00","48,900,620.78","48,900,620.78",Financials,"2,176,608.00",US1972361026,NASDAQ
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Equity,0.27,40.79,"1,195,437.00","48,761,875.23","48,761,875.23",Telecommunications,B06RWD1,US19239V3024,NASDAQ
DORM,DORMAN PRODUCTS INC.,Equity,0.27,55.27,"879,255.00","48,596,423.85","48,596,423.85",Consumer Discretionary,"2,718,594.00",US2582781009,NASDAQ
ITRI,ITRON INC.,Equity,0.27,44.05,"1,101,308.00","48,512,617.40","48,512,617.40",Information Technology,"2,471,949.00",US4657411066,NASDAQ
IILG,INTERVAL LEISURE GROUP INC,Equity,0.26,14.97,"3,207,441.00","48,015,391.77","48,015,391.77",Consumer Discretionary,B3CLS07,US46113M1080,NASDAQ
KFY,KORN/FERRY INTERNATIONAL,Equity,0.26,28.83,"1,664,532.00","47,988,457.56","47,988,457.56",Industrials,"2,386,849.00",US5006432000,New York Stock Exchange Inc.
SAFM,SANDERSON FARMS INC.,Equity,0.26,82.97,"577,345.00","47,902,314.65","47,902,314.65",Consumer Staples,"2,774,336.00",US8000131040,NASDAQ
NWN,NORTHWEST NATURAL GAS CO.,Equity,0.26,59.34,"797,142.00","47,302,406.28","47,302,406.28",Utilities,"2,649,586.00",US6676551046,New York Stock Exchange Inc.
KNX,KNIGHT TRANSPORTATION INC.,Equity,0.26,26.55,"1,781,183.00","47,290,408.65","47,290,408.65",Industrials,"2,487,690.00",US4990641031,New York Stock Exchange Inc.
AAT,AMERICAN ASSETS TRUST REIT INC,Equity,0.26,41.19,"1,146,926.00","47,241,881.94","47,241,881.94",Financials,B3NTLD4,US0240131047,New York Stock Exchange Inc.
CBM,CAMBREX CORP.,Equity,0.26,50.78,"924,001.00","46,920,770.78","46,920,770.78",Health Care,"2,165,811.00",US1320111073,New York Stock Exchange Inc.
SSD,SIMPSON MANUFACTURING CO.,Equity,0.26,39.33,"1,192,806.00","46,913,059.98","46,913,059.98",Industrials,"2,809,250.00",US8290731053,New York Stock Exchange Inc.
VIAV,VIAVI SOLUTIONS INC,Equity,0.26,6.96,"6,733,586.00","46,899,426.49","46,899,426.49",Information Technology,BYXB201,US9255501051,NASDAQ
WTS,WATTS WATER TECHNOLOGIES INC. CL A,Equity,0.26,57.48,"815,069.00","46,850,166.12","46,850,166.12",Industrials,"2,943,620.00",US9427491025,New York Stock Exchange Inc.
JJSF,J&J SNACK FOODS CORP.,Equity,0.26,109.16,"428,929.00","46,821,889.64","46,821,889.64",Consumer Staples,"2,469,171.00",US4660321096,NASDAQ
CC,CHEMOURS,Equity,0.25,8.8,"5,270,533.00","46,380,690.40","46,380,690.40",Materials,BZ0CTP8,US1638511089,New York Stock Exchange Inc.
MINI,MOBILE MINI INC.,Equity,0.25,35.39,"1,295,776.00","45,857,512.64","45,857,512.64",Industrials,"2,548,177.00",US60740F1057,NASDAQ
MGLN,MAGELLAN HEALTH INC,Equity,0.25,66.77,"681,201.00","45,483,790.77","45,483,790.77",Health Care,"2,307,787.00",US5590792074,NASDAQ
LOGM,LOGMEIN INC,Equity,0.25,62.16,"729,319.00","45,334,469.04","45,334,469.04",Information Technology,B600J15,US54142L1098,NASDAQ
AZZ,AZZ INC.,Equity,0.25,60.34,"750,709.00","45,297,781.06","45,297,781.06",Industrials,"2,067,672.00",US0024741045,New York Stock Exchange Inc.
ICUI,ICU MEDICAL INC.,Equity,0.25,107.33,"421,527.00","45,242,492.91","45,242,492.91",Health Care,"2,451,918.00",US44930G1076,NASDAQ
ATU,ACTUANT CORP. CL A,Equity,0.25,26.28,"1,711,659.00","44,982,398.52","44,982,398.52",Industrials,"2,716,792.00",US00508X2036,New York Stock Exchange Inc.
SMTC,SEMTECH CORP.,Equity,0.25,23.8,"1,885,636.00","44,878,136.80","44,878,136.80",Information Technology,"2,795,542.00",US8168501018,NASDAQ
WDFC,WD-40 CO.,Equity,0.24,114.87,"389,087.00","44,694,423.69","44,694,423.69",Consumer Staples,"2,944,742.00",US9292361071,NASDAQ
CWT,CALIFORNIA WATER SERVICE GROUP,Equity,0.24,31.91,"1,390,779.00","44,379,757.89","44,379,757.89",Utilities,"2,165,383.00",US1307881029,New York Stock Exchange Inc.
POWI,POWER INTEGRATIONS INC.,Equity,0.24,53.05,"834,452.00","44,267,678.60","44,267,678.60",Information Technology,"2,133,045.00",US7392761034,NASDAQ
AEIS,ADVANCED ENERGY INDUSTRIES INC.,Equity,0.24,38.22,"1,157,886.00","44,254,402.92","44,254,402.92",Information Technology,"2,049,175.00",US0079731008,NASDAQ
VAC,MARRIOTT VACATIONS WORLDWIDE CORP.,Equity,0.24,60.68,"729,223.00","44,249,251.64","44,249,251.64",Consumer Discretionary,B45K9N8,US57164Y1073,New York Stock Exchange Inc.
TSRA,TESSERA TECHNOLOGIES INC.,Equity,0.24,32.2,"1,373,928.00","44,240,481.60","44,240,481.60",Information Technology,"2,042,914.00",US88164L1008,NASDAQ
PEI,PENNSYLVANIA REAL ESTATE INVESTMEN,Equity,0.24,21.97,"2,012,416.00","44,212,779.52","44,212,779.52",Financials,"2,680,767.00",US7091021078,New York Stock Exchange Inc.
KALU,KAISER ALUMINUM CORP.,Equity,0.24,87.64,"504,409.00","44,206,404.76","44,206,404.76",Materials,B15CJ33,US4830077040,NASDAQ
BYD,BOYD GAMING CORP.,Equity,0.24,18.84,"2,337,691.00","44,042,098.44","44,042,098.44",Consumer Discretionary,"2,117,232.00",US1033041013,New York Stock Exchange Inc.
GK,G & K SERVICES INC. SHS -A-,Equity,0.24,76.01,"578,061.00","43,938,416.61","43,938,416.61",Industrials,"2,357,317.00",US3612681052,NASDAQ
AWR,AMERICAN STATES WATER CO.,Equity,0.24,41.34,"1,061,041.00","43,863,434.94","43,863,434.94",Utilities,"2,267,171.00",US0298991011,New York Stock Exchange Inc.
HAE,HAEMONETICS CORP.,Equity,0.24,29.58,"1,477,263.00","43,697,439.54","43,697,439.54",Health Care,"2,401,195.00",US4050241003,New York Stock Exchange Inc.
PRLB,PROTO LABS INC,Equity,0.24,63.67,"685,172.00","43,624,901.24","43,624,901.24",Industrials,B6T6J81,US7437131094,New York Stock Exchange Inc.
NTGR,NETGEAR INC.,Equity,0.24,46.26,"941,860.00","43,570,443.60","43,570,443.60",Information Technology,"2,688,363.00",US64111Q1040,NASDAQ
NWBI,NORTHWEST BANCSHARES INC.,Equity,0.24,14.7,"2,957,033.00","43,468,385.10","43,468,385.10",Financials,B523Z73,US6673401039,NASDAQ
HMSY,HMS HOLDINGS CORP.,Equity,0.24,17.78,"2,440,552.00","43,393,014.56","43,393,014.56",Health Care,"2,418,043.00",US40425J1016,NASDAQ
TUMI,TUMI HOLDINGS INC,Equity,0.24,26.7,"1,625,241.00","43,393,934.70","43,393,934.70",Consumer Discretionary,B7YQQS2,US89969Q1040,New York Stock Exchange Inc.
BRC,BRADY CORP. CL A,Equity,0.24,31.95,"1,356,993.00","43,355,926.35","43,355,926.35",Industrials,"2,117,726.00",US1046741062,New York Stock Exchange Inc.
PLXS,PLEXUS CORP.,Equity,0.24,44.57,"969,655.00","43,217,523.35","43,217,523.35",Information Technology,"2,692,160.00",US7291321005,NASDAQ
AMED,AMEDISYS INC.,Equity,0.23,51.8,"822,202.00","42,590,063.60","42,590,063.60",Health Care,"2,024,332.00",US0234361089,NASDAQ
