09-Jun-2016,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,
Total Net Assets,"$73,983,668,859",,,,,,,,,,
Number of Securities,509,,,,,,,,,,
Shares Outstanding,"347,150,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
TXN,TEXAS INSTRUMENTS INCORPORATED,Equity,0.34,62.14,"4,024,945.00","250,110,082.30","250,110,082.30",Information Technology,"2,885,409.00",US8825081040,NASDAQ
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.34,201.65,"1,238,844.00","249,812,892.60","249,812,892.60",Financials,"2,812,452.00",US8288061091,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.33,154.15,"1,586,599.00","244,574,235.85","244,574,235.85",Health Care,"2,886,907.00",US8835561023,New York Stock Exchange Inc.
AVGO,BROADCOM LTD,Equity,0.33,164.14,"1,484,643.00","243,689,302.02","243,689,302.02",Information Technology,BD9WQP4,SG9999014823,NASDAQ
GS,GOLDMAN SACHS GROUP INC,Equity,0.33,153.17,"1,572,681.00","240,887,548.77","240,887,548.77",Financials,"2,407,966.00",US38141G1040,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.32,100.39,"2,393,626.00","240,296,114.14","240,296,114.14",Industrials,"2,250,870.00",US2358511028,New York Stock Exchange Inc.
DOW,DOW CHEMICAL,Equity,0.32,53.59,"4,472,775.00","239,696,012.25","239,696,012.25",Materials,"2,278,719.00",US2605431038,New York Stock Exchange Inc.
TWX,TIME WARNER INC,Equity,0.32,75.01,"3,163,693.00","237,308,611.93","237,308,611.93",Consumer Discretionary,B63QTN2,US8873173038,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.32,67.90,"3,490,112.00","236,978,604.80","236,978,604.80",Materials,"2,018,175.00",US2635341090,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,0.32,126.50,"1,845,178.00","233,415,017.00","233,415,017.00",Financials,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.31,75.60,"3,058,330.00","231,209,748.00","231,209,748.00",Energy,"2,655,408.00",US6745991058,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.31,46.57,"4,949,599.00","230,502,825.43","230,502,825.43",Energy,"2,685,717.00",US20825C1045,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.31,38.87,"5,898,692.00","229,282,158.04","229,282,158.04",Health Care,"2,002,305.00",US0028241000,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.31,123.98,"1,844,193.00","228,643,048.14","228,643,048.14",Utilities,"2,328,915.00",US65339F1012,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.30,81.26,"2,756,185.00","223,967,593.10","223,967,593.10",Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
BIIB,BIOGEN INC,Equity,0.30,250.46,"875,540.00","219,287,748.40","219,287,748.40",Health Care,"2,455,965.00",US09062X1037,NASDAQ
EMC,EMC CORP,Equity,0.29,27.87,"7,795,727.00","217,266,911.49","217,266,911.49",Information Technology,"2,295,172.00",US2686481027,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.29,65.71,"3,280,934.00","215,590,173.14","215,590,173.14",Financials,"2,026,082.00",US0258161092,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.28,82.73,"2,525,030.00","208,895,731.90","208,895,731.90",Information Technology,"2,310,525.00",US79466L3024,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.28,77.31,"2,680,699.00","207,244,839.69","207,244,839.69",Consumer Discretionary,"2,989,301.00",US8725401090,New York Stock Exchange Inc.
F,F MOTOR,Equity,0.28,13.26,"15,609,690.00","206,984,489.40","206,984,489.40",Consumer Discretionary,"2,615,468.00",US3453708600,New York Stock Exchange Inc.
KHC,KRAFT HEINZ,Equity,0.28,85.62,"2,380,670.00","203,832,965.40","203,832,965.40",Consumer Staples,BYRY499,US5007541064,NASDAQ
ADBE,ADOBE SYSTEM INC,Equity,0.26,98.07,"1,995,234.00","195,672,598.38","195,672,598.38",Information Technology,"2,008,154.00",US00724F1012,NASDAQ
ESRX,EXPRESS SCRIPTS HOLDING CO,Equity,0.26,76.93,"2,533,651.00","194,913,771.43","194,913,771.43",Health Care,B7QQYV9,US30219G1085,NASDAQ
MON,MONSANTO,Equity,0.26,109.99,"1,763,119.00","193,925,458.81","193,925,458.81",Materials,"2,654,320.00",US61166W1018,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.26,43.78,"4,390,889.00","192,233,120.42","192,233,120.42",Financials,"2,573,209.00",US59156R1086,New York Stock Exchange Inc.
KMB,KIMBERLY CLARK CORP,Equity,0.26,130.69,"1,444,985.00","188,845,089.65","188,845,089.65",Consumer Staples,"2,491,839.00",US4943681035,New York Stock Exchange Inc.
EOG,EOG RESOURCES INC,Equity,0.25,84.58,"2,201,641.00","186,214,795.78","186,214,795.78",Energy,"2,318,024.00",US26875P1012,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.25,50.86,"3,654,885.00","185,887,451.10","185,887,451.10",Utilities,"2,829,601.00",US8425871071,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.25,109.07,"1,697,209.00","185,114,585.63","185,114,585.63",Financials,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
BLK,BLACKROCK INC.,Equity,0.24,357.96,"505,432.00","180,924,438.72","180,924,438.72",Financials,"2,494,504.00",US09247X1019,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.24,77.16,"2,331,523.00","179,900,314.68","179,900,314.68",Industrials,"2,180,201.00",US1491231015,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,0.24,41.65,"4,307,329.00","179,400,252.85","179,400,252.85",Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.24,88.33,"2,006,346.00","177,220,542.18","177,220,542.18",Financials,"2,692,665.00",US6934751057,New York Stock Exchange Inc.
D,DOMINION RESOURCES INC,Equity,0.24,73.74,"2,387,963.00","176,088,391.62","176,088,391.62",Utilities,"2,542,049.00",US25746U1097,New York Stock Exchange Inc.
MCK,MCKESSON CORP,Equity,0.23,186.88,"915,228.00","171,037,808.64","171,037,808.64",Health Care,"2,378,534.00",US58155Q1031,New York Stock Exchange Inc.
AET,AETNA INC,Equity,0.23,121.27,"1,399,746.00","169,747,197.42","169,747,197.42",Health Care,"2,695,921.00",US00817Y1082,New York Stock Exchange Inc.
RAI,REYNOLDS AMERICAN INC,Equity,0.23,51.06,"3,314,587.00","169,242,812.22","169,242,812.22",Consumer Staples,"2,429,090.00",US7617131062,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.23,164.11,"1,026,274.00","168,421,826.14","168,421,826.14",Industrials,"2,142,784.00",US31428X1063,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,0.22,97.09,"1,713,965.00","166,408,861.85","166,408,861.85",Consumer Discretionary,"2,857,817.00",US64110L1061,NASDAQ
GD,GENERAL DYNAMICS CORP,Equity,0.22,141.98,"1,171,097.00","166,272,352.06","166,272,352.06",Industrials,"2,365,161.00",US3695501086,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.22,37.13,"4,454,813.00","165,407,206.69","165,407,206.69",Information Technology,BYW36M8,US70450Y1038,NASDAQ
GM,GENERAL MOTORS,Equity,0.22,29.36,"5,627,351.00","165,219,025.36","165,219,025.36",Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.22,136.61,"1,197,123.00","163,538,973.03","163,538,973.03",Industrials,"2,758,051.00",US7551115071,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.22,67.69,"2,411,205.00","163,214,466.45","163,214,466.45",Consumer Discretionary,"2,259,101.00",US87612E1064,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.22,87.63,"1,831,557.00","160,499,339.91","160,499,339.91",Information Technology,"2,065,308.00",US0530151036,NASDAQ
MS,MORGAN STANLEY,Equity,0.22,26.08,"6,116,586.00","159,520,562.88","159,520,562.88",Financials,"2,262,314.00",US6174464486,New York Stock Exchange Inc.
NOC,NORTHROP GRUMMAN CORP,Equity,0.21,218.58,"724,454.00","158,351,155.32","158,351,155.32",Industrials,"2,648,806.00",US6668071029,New York Stock Exchange Inc.
HAL,HALLIBURTON,Equity,0.21,45.50,"3,436,631.00","156,366,710.50","156,366,710.50",Energy,"2,405,302.00",US4062161017,New York Stock Exchange Inc.
GIS,GENERAL MILLS INC,Equity,0.21,65.34,"2,375,636.00","155,224,056.24","155,224,056.24",Consumer Staples,"2,367,026.00",US3703341046,New York Stock Exchange Inc.
